distance,timedelta,temperature
2.6526,31,9.4
3.2226999999999997,17,5.8
1.7477,6,4.0
12.0717,32,4.2
0.0,0,9.3
3.7051,24,9.2
3.4126999999999996,16,7.5
0.0,0,9.2
5.686,20,1.9
6.615600000000001,27,3.1
3.2759,6,4.7
1.766,5,6.1
5.5037,18,12.2
9.694600000000001,15,5.3
2.5713000000000004,24,0.2
9.199200000000001,35,7.5
0.0047,14,9.2
4.182300000000001,15,7.2
4.475899999999999,37,6.5
7.127,20,4.6
10.439200000000001,20,5.4
0.049,20,11.3
0.0017,27,2.1
0.21730000000000002,1,5.0
0.2923,10,2.5
2.7048,6,2.3
4.756600000000001,13,6.7
6.8202,25,5.0
4.7083,39,8.6
2.4105,13,1.8
3.0848,16,7.8
10.1149,27,6.6
7.4121999999999995,29,9.9
10.3537,17,12.2
2.0876,10,2.9
1.1717,11,4.6
0.5855,17,7.7
26.8917,42,3.3
6.5835,21,5.2
5.2413,21,9.3
6.6312,15,8.2
1.7445,15,3.5
1.8787,10,6.0
5.8695,33,8.1
7.0207,36,10.4
2.5967,9,3.5
9.4115,20,5.2
5.2424,14,5.9
0.0,20,9.5
4.347,12,4.5
2.9574000000000003,10,1.1
8.318700000000002,35,10.6
5.2543999999999995,21,8.7
0.0,0,4.0
8.8801,25,5.6
0.0,4,2.0
2.8767,10,2.8
2.6727,8,11.5
5.8424,32,3.8
1.6998,7,3.1
21.7494,21,6.7
9.3152,33,8.8
2.5333,13,1.2
6.9543,12,9.1
2.6814,31,6.7
5.395899999999999,20,3.4
5.114199999999999,15,8.0
0.8212,7,5.0
6.1369,17,1.2
6.348,32,5.8
1.957,7,8.7
7.8519,23,6.5
8.3644,24,11.8
1.7153,56,11.2
9.305299999999999,23,8.4
2.0983,5,7.8
1.7759,16,5.1
11.7006,20,4.4
5.2634,19,2.4
1.344,12,4.7
3.2745,25,6.9
1.2270999999999999,4,1.0
2.2857,40,6.9
2.5318,20,6.1
11.3989,1,8.6
12.514899999999999,24,5.8
7.6105,19,4.9
3.2711,22,3.3
6.663600000000001,10,3.7
6.5513,10,3.8
1.1325,10,7.9
4.0157,25,5.7
7.5955,22,3.8
3.1304000000000003,15,4.4
0.0,9,9.2
3.4556999999999998,8,10.2
1.3778,10,2.2
4.4523,29,6.5
10.6838,24,8.9
6.568,27,5.1
3.2893000000000003,1,4.4
4.1655,15,2.8
3.6167,10,7.7
9.524700000000001,21,1.1
5.5764,26,4.6
2.8304,8,6.4
3.0264,13,2.6
5.1944,54,5.3
4.331,41,4.9
2.5848,9,6.9
4.084,11,1.8
7.8848,18,4.3
0.0,2,6.1
3.5206,8,1.9
4.8833,19,2.5
0.5307000000000001,25,8.6
7.726100000000001,25,5.3
3.8678000000000003,14,4.1
7.8492,19,2.6
2.5561,49,0.8
0.0,0,9.0
1.427,15,6.4
1.0719,5,7.5
2.6639,11,8.9
1.6956,16,6.5
4.4911,22,4.4
4.1792,13,4.5
0.1187,31,5.8
4.682300000000001,24,4.5
3.6863,10,4.2
4.5628,19,5.6
2.8322,9,7.9
2.976,10,7.5
3.6738000000000004,20,7.6
6.6144,18,7.9
5.3908000000000005,23,8.3
3.8026,16,4.8
4.5391,34,12.9
5.8328999999999995,33,4.4
0.004900000000000001,27,9.1
10.0968,23,12.8
5.7571,15,5.3
0.0,0,8.3
4.6301000000000005,27,5.1
4.8991999999999996,9,7.2
4.1288,10,5.5
0.0,38,7.7
11.7125,29,4.6
0.3336,11,9.7
7.8467,22,4.1
11.3917,25,13.9
6.5554,13,3.6
4.1735,20,4.6
1.3125,5,8.2
8.1989,24,8.7
10.7437,17,8.7
0.005,56,9.2
5.0681,11,-0.2
10.3613,25,4.9
0.0,0,10.6
0.0675,16,6.1
4.0919,26,5.2
0.6742999999999999,9,8.9
2.3547,29,2.7
12.3086,35,2.8
2.8399,13,5.0
4.2665,16,2.6
2.3223000000000003,13,1.8
0.0,2,5.2
7.823600000000001,19,5.2
0.1608,37,9.4
2.6794000000000002,27,4.6
2.1709,11,2.1
1.8111,3,4.1
12.0991,34,2.5
6.2501999999999995,29,9.2
0.0,3,7.0
0.3,42,6.7
3.5286999999999997,16,3.3
4.6021,15,10.4
5.9312,29,7.3
1.795,8,7.3
7.4215,12,4.4
4.964600000000001,24,5.9
3.7594000000000003,27,3.3
2.5604,10,4.3
0.643,19,9.3
4.2904,31,7.7
5.425800000000001,33,3.4
4.9845,14,12.0
3.5204,28,8.7
3.2144,35,6.5
4.675800000000001,9,3.3
3.0881,17,5.4
9.5737,48,9.1
0.2278,12,7.0
3.1433,17,4.6
1.5419,4,9.5
0.0,3,10.4
5.2286,14,8.7
5.0869,18,11.8
0.026699999999999998,23,8.7
0.013300000000000001,10,7.3
0.0704,38,4.3
5.6068999999999996,32,7.5
2.1868000000000003,7,7.6
8.5966,31,9.2
9.2681,17,9.6
1.7178,17,2.9
5.471,17,2.7
1.8834000000000002,6,1.6
3.2835,16,4.2
10.553,53,12.2
2.7896,9,10.5
5.8222,12,5.2
2.6853000000000002,24,5.0
3.5723000000000003,20,2.6
2.0002999999999997,8,3.9
4.7268,57,3.8
1.4203,15,2.9
8.0775,18,7.4
0.0106,57,6.3
5.7147,22,3.9
1.4947000000000001,10,6.3
9.2065,22,4.4
11.7869,29,7.5
0.0,1,8.8
2.5564,42,5.1
2.2351,8,7.9
1.5407,37,10.4
8.788200000000002,29,1.4
0.9396,27,10.4
4.4078,15,9.5
0.42510000000000003,16,12.0
0.013,14,2.9
3.7617,30,10.7
2.7941,9,2.9
